Frame Seq, Obj_index, x, y, z, velocity, snr, noise
# Frame 316: DetectedObjs=4 : numTLVs=5
316,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
316,obj_1,0.01772,0.56690,0.00000,0.00000,323,701
316,obj_2,0.00000,0.82895,0.00000,0.00000,296,568
316,obj_3,0.00000,1.09072,0.00000,0.00000,170,491
# Frame 317: DetectedObjs=4 : numTLVs=5
317,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
317,obj_1,0.01772,0.56690,0.00000,0.00000,315,709
317,obj_2,0.00000,0.82895,0.00000,0.00000,289,576
317,obj_3,-0.03408,1.09018,0.00000,0.00000,152,519
# Frame 318: DetectedObjs=4 : numTLVs=5
318,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
318,obj_1,0.01772,0.56690,0.00000,0.00000,314,710
318,obj_2,0.00000,0.82895,0.00000,0.00000,285,580
318,obj_3,-0.03408,1.09018,0.00000,0.00000,158,505
# Frame 319: DetectedObjs=4 : numTLVs=5
319,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
319,obj_1,0.01772,0.56690,0.00000,0.00000,317,707
319,obj_2,0.00000,0.82895,0.00000,0.00000,288,577
319,obj_3,-0.03408,1.09018,0.00000,0.00000,161,504
# Frame 320: DetectedObjs=4 : numTLVs=5
320,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
320,obj_1,0.01772,0.56690,0.00000,0.00000,314,710
320,obj_2,0.00000,0.82895,0.00000,0.00000,295,570
320,obj_3,0.00000,1.09072,0.00000,0.00000,161,501
# Frame 321: DetectedObjs=4 : numTLVs=5
321,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
321,obj_1,0.01772,0.56690,0.00000,0.00000,315,709
321,obj_2,0.00000,0.82895,0.00000,0.00000,304,561
321,obj_3,-0.03408,1.09018,0.00000,0.00000,173,491
# Frame 322: DetectedObjs=4 : numTLVs=5
322,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
322,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
322,obj_2,0.00000,0.82895,0.00000,0.00000,290,574
322,obj_3,-0.03408,1.09018,0.00000,0.00000,152,512
# Frame 323: DetectedObjs=4 : numTLVs=5
323,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
323,obj_1,0.01772,0.56690,0.00000,0.00000,314,710
323,obj_2,0.00000,0.82895,0.00000,0.00000,304,560
323,obj_3,-0.03408,1.09018,0.00000,0.00000,173,497
# Frame 324: DetectedObjs=4 : numTLVs=5
324,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
324,obj_1,0.01772,0.56690,0.00000,0.00000,320,704
324,obj_2,0.00000,0.82895,0.00000,0.00000,293,571
324,obj_3,0.00000,1.09072,0.00000,0.00000,161,503
# Frame 325: DetectedObjs=4 : numTLVs=5
325,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
325,obj_1,0.01772,0.56690,0.00000,0.00000,313,711
325,obj_2,0.00000,0.82895,0.00000,0.00000,302,562
325,obj_3,0.00000,1.09072,0.00000,0.00000,173,496
# Frame 326: DetectedObjs=4 : numTLVs=5
326,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
