Open /dev/ttyACM1 success.
Listener (fd=4) was added to epoll.
Frame Seq, Obj_index, x, y, z, velocity, snr, noise
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
[radar01_receive_process] Header Magic number not match Drop it !!
Frame 1126: DetectedObjs=4 : numTLVs=5
1126, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 243, 892
1126, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 312, 712
1126, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 281, 582
1126, obj_3, 0.000000, 1.090717, 0.000000, 0.000000, 172, 492
Frame 1127: DetectedObjs=4 : numTLVs=5
1127, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 243, 892
1127, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 314, 710
1127, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 289, 574
1127, obj_3, 0.000000, 1.090717, 0.000000, 0.000000, 165, 505
Frame 1128: DetectedObjs=3 : numTLVs=5
1128, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 243, 892
1128, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 317, 707
1128, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 287, 577
Frame 1129: DetectedObjs=4 : numTLVs=5
1129, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 243, 892
1129, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 318, 706
1129, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 291, 572
1129, obj_3, -0.034085, 1.090184, 0.000000, 0.000000, 177, 491
Frame 1130: DetectedObjs=4 : numTLVs=5
1130, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 243, 892
1130, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 320, 704
1130, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 304, 559
1130, obj_3, 0.000000, 1.090717, 0.000000, 0.000000, 166, 492
Frame 1131: DetectedObjs=4 : numTLVs=5
1131, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 242, 893
1131, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 312, 712
1131, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 286, 578
1131, obj_3, 0.000000, 1.090717, 0.000000, 0.000000, 175, 491
Frame 1132: DetectedObjs=4 : numTLVs=5
1132, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 242, 893
1132, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 315, 708
1132, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 308, 555
1132, obj_3, -0.034085, 1.090184, 0.000000, 0.000000, 173, 483
Frame 1133: DetectedObjs=4 : numTLVs=5
1133, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 243, 892
1133, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 314, 710
1133, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 285, 578
1133, obj_3, 0.000000, 1.090717, 0.000000, 0.000000, 168, 501
Frame 1134: DetectedObjs=4 : numTLVs=5
1134, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 243, 892
1134, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 311, 713
1134, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 287, 576
1134, obj_3, -0.034085, 1.090184, 0.000000, 0.000000, 155, 512
Frame 1135: DetectedObjs=4 : numTLVs=5
1135, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 241, 894
1135, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 317, 707
1135, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 304, 560
1135, obj_3, -0.034085, 1.090184, 0.000000, 0.000000, 167, 493
Frame 1136: DetectedObjs=4 : numTLVs=5
1136, obj_0, 0.009544, 0.305252, 0.000000, 0.000000, 243, 892
1136, obj_1, 0.017724, 0.566896, 0.000000, 0.000000, 312, 712
1136, obj_2, 0.000000, 0.828945, 0.000000, 0.000000, 284, 579
